"TRAN_NUMBER","STOCK_CODE","TYPE","DATE","REFERENCE","REFERENCE_NUMERIC","DETAILS","QUANTITY","COST_PRICE","SALES_PRICE","QTY_USED","ISP_REFERENCE","ARTEFACT_TYPE","GDN_NUMBER","GRN_NUMBER","RECORD_CREATE_DATE","RECORD_MODIFY_DATE","RECORD_DELETED","CUMULATIVE_QUANTITY"
104676,"CAP02930293251T","MO","2020-07-08","B4806/B4813",0,"VX050WH012003000EB090",-118.9881,0.3777,0,0,0,0,0,0,"2020-07-08 07:45:20","2021-02-02 19:54:58",0,3743.8911000000007
104726,"CAP02930293251T","MO","2020-07-09","B4812",0,"VX051GL012003000EB110",-9.998999999999999,0.3777,0,0,0,0,0,0,"2020-07-09 05:41:24","2021-02-02 19:54:58",0,3733.892100000001
104779,"CAP02930293251T","MO","2020-07-09","B4812",0,"VX051GL012003000EB110",-45.995400000000004,0.3777,0,0,0,0,0,0,"2020-07-09 15:43:57","2021-02-02 19:54:58",0,3687.896700000001
104836,"CAP02930293251T","MO","2020-07-10","B4815",0,"VX050WH012003000EB110",-55.994400000000006,0.3777,0,0,0,0,0,0,"2020-07-10 15:30:02","2021-02-02 19:54:58",0,3631.902300000001
104978,"CAP02930293251T","MO","2020-07-14","E2533",0,"PA000WH011003000",-42.6624,0.3777,0,0,0,0,0,0,"2020-07-14 06:42:05","2021-02-02 19:54:59",0,3589.239900000001
105327,"CAP02930293251T","MO","2020-07-21","E2540",0,"VX050WH012003000",-62.993700000000004,0.3777,0,0,0,0,0,0,"2020-07-21 06:44:26","2021-02-02 19:54:59",0,3526.246200000001
105346,"CAP02930293251T","MO","2020-07-21","E2541",0,"VX050WH012003000",-62.993700000000004,0.3777,0,0,0,0,0,0,"2020-07-21 14:31:35","2021-02-02 19:54:59",0,3463.252500000001
105351,"CAP02930293251T","MO","2020-07-22","E2542",0,"VX050WH012003000",-62.993700000000004,0.3777,0,0,0,0,0,0,"2020-07-22 06:36:48","2021-02-02 19:54:59",0,3400.258800000001
105417,"CAP02930293251T","MO","2020-07-23","E2545",0,"VX050WH012003000",-62.993700000000004,0.3777,0,0,0,0,0,0,"2020-07-23 06:48:44","2021-02-02 19:54:59",0,3337.265100000001
105459,"CAP02930293251T","MO","2020-07-23","C2811",0,"VX050WH012003000EB110",-62.993700000000004,0.3777,0,0,0,0,0,0,"2020-07-23 14:36:20","2021-02-02 19:54:59",0,3274.271400000001
105474,"CAP02930293251T","MO","2020-07-24","C2812",0,"VX050WH012003000EB110",-62.993700000000004,0.3777,0,0,0,0,0,0,"2020-07-24 07:47:23","2021-02-02 19:54:59",0,3211.277700000001
105479,"CAP02930293251T","MO","2020-07-24","E2543",0,"VX051YL012003000",-62.993700000000004,0.3777,0,0,0,0,0,0,"2020-07-24 07:48:48","2021-02-02 19:54:59",0,3148.284000000001
105538,"CAP02930293251T","MO","2020-07-24","B4820",0,"VX050WH012003000",-6.999300000000001,0.3777,0,0,0,0,0,0,"2020-07-24 12:02:00","2021-02-02 19:54:59",0,3141.284700000001
105543,"CAP02930293251T","MO","2020-07-24","B4821",0,"VX050WH012003000EB110",-6.999300000000001,0.3777,0,0,0,0,0,0,"2020-07-24 12:02:00","2021-02-02 19:54:59",0,3134.285400000001
105548,"CAP02930293251T","MO","2020-07-24","B4822",0,"VX051GL012003000EB110",-6.999300000000001,0.3777,0,0,0,0,0,0,"2020-07-24 12:02:00","2021-02-02 19:54:59",0,3127.286100000001
105590,"CAP02930293251T","MO","2020-07-27","C2813",0,"VX050WH012003000EB110",-55.994400000000006,0.3777,0,0,0,0,0,0,"2020-07-27 07:36:01","2021-02-02 19:54:59",0,3071.291700000001
105635,"CAP02930293251T","MO","2020-07-27","B4816",0,"VX050WH012003000EB110",-62.993700000000004,0.3777,0,0,0,0,0,0,"2020-07-27 14:29:35","2021-02-02 19:54:59",0,3008.298000000001
106446,"CAP02930293251T","MO","2020-07-30","B4825",0,"WS051GL012003000EB110",-13.998600000000001,0.3777,0,0,0,0,0,0,"2020-07-30 11:08:08","2021-02-02 19:54:59",0,2994.2994000000012
106508,"CAP02930293251T","MO","2020-08-03","E2544",0,"VX051YL012003000",-62.993700000000004,0.3777,0,0,0,0,0,0,"2020-08-03 11:07:50","2021-02-02 19:54:59",0,2931.3057000000013
106599,"CAP02930293251T","MO","2020-08-05","E2562",0,"VX051YL012003000EB090",-55.994400000000006,0.3777,0,0,0,0,0,0,"2020-08-05 09:44:07","2021-02-02 19:54:59",0,2875.311300000001
106604,"CAP02930293251T","MO","2020-08-05","E2558",0,"VX050WH012003000EB090",-62.993700000000004,0.3777,0,0,0,0,0,0,"2020-08-05 09:44:07","2021-02-02 19:54:59",0,2812.317600000001
106774,"CAP02930293251T","MO","2020-08-06","E2559",0,"VX050WH012003000EB090",-62.993700000000004,0.3777,0,0,0,0,0,0,"2020-08-06 14:29:23","2021-02-02 19:54:59",0,2749.3239000000012
107314,"CAP02930293251T","MO","2020-08-19","B4825",0,"VX051GL012003000EB110",-10.6656,0.3777,0,0,0,0,0,0,"2020-08-19 07:43:17","2021-02-02 19:54:59",0,2738.6583000000014
107347,"CAP02930293251T","MO","2020-08-19","B4827",0,"VX050WH012003000EB110",-48.9951,0.3777,0,0,0,0,0,0,"2020-08-19 11:27:28","2021-02-02 19:54:59",0,2689.6632000000013
107354,"CAP02930293251T","MO","2020-08-19","B4829",0,"VX051OR012003000EB110",-6.999300000000001,0.3777,0,0,0,0,0,0,"2020-08-19 11:27:56","2021-02-02 19:54:59",0,2682.6639000000014
107414,"CAP02930293251T","MO","2020-08-20","Stock",0,"VX050WH012003000EB090",-39.662699999999994,0.3777,0,0,0,0,0,0,"2020-08-20 15:24:42","2021-02-02 19:54:59",0,2643.0012000000015
107588,"CAP02930293251T","MO","2020-08-25","B4836",0,"VX051YL012003000EB090",-62.993700000000004,0.3777,0,0,0,0,0,0,"2020-08-25 06:37:46","2021-02-02 19:54:59",0,2580.0075000000015
107653,"CAP02930293251T","MO","2020-08-26","B4837",0,"VX051YL012003000EB090",-62.993700000000004,0.3777,0,0,0,0,0,0,"2020-08-26 06:20:41","2021-02-02 19:54:59",0,2517.0138000000015
107658,"CAP02930293251T","MO","2020-08-26","B4844",0,"VX051GL012003000",-6.999300000000001,0.3777,0,0,0,0,0,0,"2020-08-26 06:21:18","2021-02-02 19:54:59",0,2510.0145000000016
107722,"CAP02930293251T","MO","2020-08-27","B4838",0,"VX050WH012003000EB110",-55.994400000000006,0.3777,0,0,0,0,0,0,"2020-08-27 07:00:40","2021-02-02 19:54:59",0,2454.0201000000015
107899,"CAP02930293251T","MO","2020-08-27","B4839",0,"VX051OR012003000EB110",-62.6604,0.3777,0,0,0,0,0,0,"2020-08-27 15:25:00","2021-02-02 19:54:59",0,2391.3597000000013
107945,"CAP02930293251T","MO","2020-08-28","B4847",0,"VX040WH012003000EB090",-13.998600000000001,0.3777,0,0,0,0,0,0,"2020-08-28 13:40:13","2021-02-02 19:54:59",0,2377.3611000000014
107960,"CAP02930293251T","MO","2020-09-01","B4841",0,"VX050WH012003000EB090",-55.994400000000006,0.3777,0,0,0,0,0,0,"2020-09-01 06:13:41","2021-02-02 19:54:59",0,2321.3667000000014
108016,"CAP02930293251T","MO","2020-09-02","B4840",0,"VX051GL012003000EB110",-48.9951,0.3777,0,0,0,0,0,0,"2020-09-02 06:22:10","2021-02-02 19:54:59",0,2272.3716000000013
108080,"CAP02930293251T","MO","2020-09-03","E2585",0,"VX051YL012003000EB090",-62.327099999999994,0.3777,0,0,0,0,0,0,"2020-09-03 11:58:42","2021-02-02 19:54:59",0,2210.0445000000013
108137,"CAP02930293251T","MO","2020-09-04","B4846",0,"VX051SL012003000EB090",-48.9951,0.3777,0,0,0,0,0,0,"2020-09-04 07:54:54","2021-02-02 19:54:59",0,2161.0494000000012
108142,"CAP02930293251T","MO","2020-09-04","E2586",0,"VX051YL012003000EB090",-55.994400000000006,0.3777,0,0,0,0,0,0,"2020-09-04 07:56:26","2021-02-02 19:54:59",0,2105.055000000001
108193,"CAP02930293251T","MO","2020-09-04","B4845",0,"VX050WH012003000EB090",-55.994400000000006,0.3777,0,0,0,0,0,0,"2020-09-04 13:14:44","2021-02-02 19:54:59",0,2049.060600000001
108217,"CAP02930293251T","MO","2020-09-07","E2587",0,"VX051OR012003000T090",-62.993700000000004,0.3777,0,0,0,0,0,0,"2020-09-07 06:06:18","2021-02-02 19:54:59",0,1986.0669000000012
108222,"CAP02930293251T","MO","2020-09-07","E2587",0,"VX051OR012003000EB110",-62.993700000000004,0.3777,0,0,0,0,0,0,"2020-09-07 06:07:22","2021-02-02 19:54:59",0,1923.0732000000012
108292,"CAP02930293251T","MO","2020-09-08","E2588",0,"VX051OR012003000EB110",-55.994400000000006,0.3777,0,0,0,0,0,0,"2020-09-08 06:13:34","2021-02-02 19:54:59",0,1867.0788000000011
108327,"CAP02930293251T","MO","2020-09-08","B4849",0,"VX051OR012003000T090",-55.994400000000006,0.3777,0,0,0,0,0,0,"2020-09-08 13:47:51","2021-02-02 19:54:59",0,1811.084400000001
108446,"CAP02930293251T","GI","2020-09-10","7392",7392,"Goods In",4695,0.3777,0,4695,7392,3,0,7392,"2020-09-10 11:48:16","2021-02-02 19:54:59",0,6506.084400000002
108717,"CAP02930293251T","MO","2020-09-11","E2590",0,"VX040WH012003000EB090",-62.993700000000004,0.3777,0,0,0,0,0,0,"2020-09-11 14:20:52","2021-02-02 19:54:59",0,6443.090700000002
108735,"CAP02930293251T","MO","2020-09-14","B4862",0,"WS051GL012003000",-11.9988,0.3777,0,0,0,0,0,0,"2020-09-14 06:22:16","2021-02-02 19:54:59",0,6431.091900000001
108785,"CAP02930293251T","MO","2020-09-14","E2591",0,"VX040WH012003000EB090",-62.993700000000004,0.3777,0,0,0,0,0,0,"2020-09-14 14:12:15","2021-02-02 19:54:59",0,6368.098200000001
108819,"CAP02930293251T","MO","2020-09-15","E2592",0,"VX040WH012003000EB090",-55.994400000000006,0.3777,0,0,0,0,0,0,"2020-09-15 06:01:14","2021-02-02 19:54:59",0,6312.103800000002
108866,"CAP02930293251T","MO","2020-09-16","B4868",0,"VX051YL012003000EB090",-62.993700000000004,0.3777,0,0,0,0,0,0,"2020-09-16 06:18:46","2021-02-02 19:54:59",0,6249.110100000002
108871,"CAP02930293251T","MO","2020-09-16","B4869",0,"VX051YL012003000EB090",-55.994400000000006,0.3777,0,0,0,0,0,0,"2020-09-16 06:19:28","2021-02-02 19:54:59",0,6193.115700000002
108952,"CAP02930293251T","MO","2020-09-16","B4872",0,"VX050WH012003000EB090",-55.994400000000006,0.3777,0,0,0,0,0,0,"2020-09-16 14:55:51","2021-02-02 19:54:59",0,6137.1213000000025
108965,"CAP02930293251T","MO","2020-09-17","B4880",0,"WS051WH012003000",-6.999300000000001,0.3777,0,0,0,0,0,0,"2020-09-17 06:36:53","2021-02-02 19:54:59",0,6130.122000000002
109543,"CAP02930293251T","MO","2020-09-25","B4874",0,"VX051YL012003000EB090",-55.994400000000006,0.3777,0,0,0,0,0,0,"2020-09-25 06:14:19","2021-02-02 19:54:59",0,6074.1276000000025
109604,"CAP02930293251T","MO","2020-09-25","B4875",0,"VX051YL012003000EB090",-62.993700000000004,0.3777,0,0,0,0,0,0,"2020-09-25 15:04:08","2021-02-02 19:54:59",0,6011.1339000000025
109721,"CAP02930293251T","MO","2020-09-28","B4876",0,"VX051YL012003000EB090",-62.993700000000004,0.3777,0,0,0,0,0,0,"2020-09-28 15:18:42","2021-02-02 19:54:59",0,5948.140200000003
109727,"CAP02930293251T","MO","2020-09-29","B4882",0,"VX051YL012003000EB090",-55.994400000000006,0.3777,0,0,0,0,0,0,"2020-09-29 06:08:49","2021-02-02 19:54:59",0,5892.145800000003
109897,"CAP02930293251T","MO","2020-09-30","B4881",0,"VX051YL012003000EB090",-62.993700000000004,0.3777,0,0,0,0,0,0,"2020-09-30 08:14:56","2021-02-02 19:54:59",0,5829.152100000003
110049,"CAP02930293251T","MO","2020-10-01","B4853",0,"VX040WH012003000EB090",-62.993700000000004,0.3777,0,0,0,0,0,0,"2020-10-01 14:51:08","2021-02-02 19:54:59",0,5766.158400000003
110166,"CAP02930293251T","MO","2020-10-05","B4871",0,"VX050WH012003000EB090",-62.993700000000004,0.3777,0,0,0,0,0,0,"2020-10-05 06:14:15","2021-02-02 19:54:59",0,5703.164700000003
110215,"CAP02930293251T","MO","2020-10-05","B4873",0,"VX050WH012003000EB090",-48.9951,0.3777,0,0,0,0,0,0,"2020-10-05 15:05:24","2021-02-02 19:54:59",0,5654.169600000003
110226,"CAP02930293251T","MO","2020-10-06","B4889",0,"VX051OR012003000EB090",-21,0.3777,0,0,0,0,0,0,"2020-10-06 07:06:04","2021-02-02 19:54:59",0,5633.169600000003
110293,"CAP02930293251T","MO","2020-10-06","B4884",0,"VX050WH012003000EB110",-62.993700000000004,0.3777,0,0,0,0,0,0,"2020-10-06 16:02:30","2021-02-02 19:54:59",0,5570.175900000003
110314,"CAP02930293251T","MO","2020-10-07","B4883",0,"VX050WH012003000EB090",-55.994400000000006,0.3777,0,0,0,0,0,0,"2020-10-07 13:18:29","2021-02-02 19:54:59",0,5514.181500000003
110323,"CAP02930293251T","MO","2020-10-08","B4885",0,"VX050WH012003000EB110",-55.994400000000006,0.3777,0,0,0,0,0,0,"2020-10-08 06:15:44","2021-02-02 19:54:59",0,5458.187100000004
110401,"CAP02930293251T","MO","2020-10-08","B4890",0,"VX050WH012003000",-62.993700000000004,0.3777,0,0,0,0,0,0,"2020-10-08 14:15:11","2021-02-02 19:54:59",0,5395.193400000004
110619,"CAP02930293251T","AI","2020-10-12","SA906",0,"We Seal Printed Carton 293x293x251mm",345,0.3777,0,345,0,0,0,0,"2020-10-12 14:24:58","2021-02-02 19:54:59",0,5740.193400000004
110621,"CAP02930293251T","MO","2020-10-12","B4886",0,"VX050WH012003000EB110",-62.993700000000004,0.3777,0,0,0,0,0,0,"2020-10-12 14:54:50","2021-02-02 19:54:59",0,5677.199700000004
110688,"CAP02930293251T","MO","2020-10-14","B4892",0,"VX050WH012003000EB110",-55.6611,0.3777,0,0,0,0,0,0,"2020-10-14 06:18:43","2021-02-02 19:54:59",0,5621.5386000000035
110794,"CAP02930293251T","MO","2020-10-14","B4893",0,"VX050WH012003000EB110",-62.993700000000004,0.3777,0,0,0,0,0,0,"2020-10-14 14:34:55","2021-02-02 19:54:59",0,5558.5449000000035
110887,"CAP02930293251T","MO","2020-10-15","E2619",0,"VX050WH012003000",-62.993700000000004,0.3777,0,0,0,0,0,0,"2020-10-15 15:24:50","2021-02-02 19:54:59",0,5495.5512000000035
110894,"CAP02930293251T","MO","2020-10-16","B4895",0,"VX051OR012003000EB110",-62.993700000000004,0.3777,0,0,0,0,0,0,"2020-10-16 05:48:33","2021-02-02 19:54:59",0,5432.5575000000035
110930,"CAP02930293251T","MO","2020-10-16","B4896",0,"VX051OR012003000EB110",-48.9951,0.3777,0,0,0,0,0,0,"2020-10-16 15:14:54","2021-02-02 19:54:59",0,5383.562400000003
110942,"CAP02930293251T","MO","2020-10-16","E2620",0,"VX050WH012003000",-62.993700000000004,0.3777,0,0,0,0,0,0,"2020-10-16 15:22:28","2021-02-02 19:54:59",0,5320.568700000003
111013,"CAP02930293251T","MO","2020-10-20","B4903",0,"VX051SL012003000EB090",-62.993700000000004,0.3777,0,0,0,0,0,0,"2020-10-20 06:28:38","2021-02-02 19:54:59",0,5257.5750000000035
111018,"CAP02930293251T","MO","2020-10-20","E2621",0,"VX050WH012003000",-62.993700000000004,0.3777,0,0,0,0,0,0,"2020-10-20 06:43:51","2021-02-02 19:54:59",0,5194.5813000000035
111059,"CAP02930293251T","MO","2020-10-21","B4905",0,"VX051OR012003000EB090",-21,0.3777,0,0,0,0,0,0,"2020-10-21 06:24:44","2021-02-02 19:54:59",0,5173.5813000000035
111064,"CAP02930293251T","MO","2020-10-21","B4901",0,"VX050WH012003000EB090",-55.994400000000006,0.3777,0,0,0,0,0,0,"2020-10-21 06:25:18","2021-02-02 19:54:59",0,5117.586900000004
111119,"CAP02930293251T","MO","2020-10-22","B4902",0,"VX050WH012003000EB090",-48.9951,0.3777,0,0,0,0,0,0,"2020-10-22 11:18:53","2021-02-02 19:54:59",0,5068.591800000004
111152,"CAP02930293251T","MO","2020-10-23","B4906",0,"VX050WH012003000",-62.993700000000004,0.3777,0,0,0,0,0,0,"2020-10-23 06:37:40","2021-02-02 19:54:59",0,5005.598100000004
111172,"CAP02930293251T","MO","2020-10-23","B4907",0,"VX050WH012003000",-62.993700000000004,0.3777,0,0,0,0,0,0,"2020-10-23 12:23:50","2021-02-02 19:54:59",0,4942.604400000004
111205,"CAP02930293251T","MO","2020-10-26","B4854",0,"VX040WH012003000EB090",-55.994400000000006,0.3777,0,0,0,0,0,0,"2020-10-26 07:22:39","2021-02-02 19:54:59",0,4886.610000000004
111256,"CAP02930293251T","MO","2020-10-27","B4855",0,"VX040WH012003000EB090",-62.993700000000004,0.3777,0,0,0,0,0,0,"2020-10-27 11:08:20","2021-02-02 19:54:59",0,4823.616300000004
111824,"CAP02930293251T","MO","2020-10-28","B4856",0,"VX040WH012003000EB090",-62.6604,0.3777,0,0,0,0,0,0,"2020-10-28 12:15:48","2021-02-02 19:54:59",0,4760.9559000000045
111950,"CAP02930293251T","MO","2020-10-29","B4857",0,"VX040WH012003000EB090",-41.995799999999996,0.3777,0,0,0,0,0,0,"2020-10-29 13:08:26","2021-02-02 19:54:59",0,4718.960100000005
112147,"CAP02930293251T","MO","2020-11-02","B4858/B4859",0,"VX040WH012003000EB090",-104.98949999999999,0.3777,0,0,0,0,0,0,"2020-11-02 06:23:19","2021-02-02 19:54:59",0,4613.970600000005
112217,"CAP02930293251T","MO","2020-11-03","B4860",0,"VX040WH012003000EB090",-62.993700000000004,0.3777,0,0,0,0,0,0,"2020-11-03 07:03:41","2021-02-02 19:54:59",0,4550.976900000005
112329,"CAP02930293251T","MO","2020-11-03","B4912",0,"VX040WH012003000EB090",-40.6626,0.3777,0,0,0,0,0,0,"2020-11-03 15:08:05","2021-02-02 19:54:59",0,4510.3143000000055
112453,"CAP02930293251T","MO","2020-11-05","B4909/B4910",0,"VX051YL012003000EB090",-111.98880000000001,0.3777,0,0,0,0,0,0,"2020-11-05 13:59:46","2021-02-02 19:54:59",0,4398.325500000005
112808,"CAP02930293251T","MO","2020-11-10","B4899",0,"VX051OR012003000EB090",-168,0.3777,0,0,0,0,0,0,"2020-11-10 16:48:38","2021-02-02 19:54:59",0,4230.325500000005
112813,"CAP02930293251T","MO","2020-11-10","B4898/B4897",0,"VX051OR012003000EB090",-378,0.3777,0,0,0,0,0,0,"2020-11-10 16:51:05","2021-02-02 19:54:59",0,3852.3255000000054
112838,"CAP02930293251T","MO","2020-11-11","B4900",0,"VX051OR012003000EB090",-147,0.3777,0,0,0,0,0,0,"2020-11-11 05:46:28","2021-02-02 19:54:59",0,3705.3255000000054
112843,"CAP02930293251T","MO","2020-11-11","B4915",0,"VX051GL012003000",-13.998600000000001,0.3777,0,0,0,0,0,0,"2020-11-11 05:46:56","2021-02-02 19:54:59",0,3691.3269000000055
113035,"CAP02930293251T","MO","2020-11-12","B4913",0,"VX051SL012003000EB090",-62.993700000000004,0.3777,0,0,0,0,0,0,"2020-11-12 15:21:55","2021-02-02 19:54:59",0,3628.3332000000055
113083,"CAP02930293251T","MO","2020-11-14","B4911/B4916/B4917",0,"VX051YL012003000EB090",-174.98250000000002,0.3777,0,0,0,0,0,0,"2020-11-14 12:12:20","2021-02-02 19:54:59",0,3453.3507000000054
113295,"CAP02930293251T","MO","2020-11-17","B4920/B4921",0,"VX050WH012003000EB110",-125.98740000000001,0.3777,0,0,0,0,0,0,"2020-11-17 15:36:04","2021-02-02 19:54:59",0,3327.3633000000054
113332,"CAP02930293251T","MO","2020-11-18","B4922",0,"VX050WH012003000EB110",-62.993700000000004,0.3777,0,0,0,0,0,0,"2020-11-18 14:07:06","2021-02-02 19:54:59",0,3264.3696000000054
113338,"CAP02930293251T","MO","2020-11-18","E2632",0,"PA000WH011003000",-86.65799999999999,0.3777,0,0,0,0,0,0,"2020-11-18 14:16:40","2021-02-02 19:54:59",0,3177.7116000000055
113347,"CAP02930293251T","MO","2020-11-19","B4923",0,"VX050WH012003000EB110",-62.993700000000004,0.3777,0,0,0,0,0,0,"2020-11-19 08:04:54","2021-02-02 19:54:59",0,3114.7179000000056
113397,"CAP02930293251T","MO","2020-11-19","B4925",0,"VX050WH012003000",-62.993700000000004,0.3777,0,0,0,0,0,0,"2020-11-19 17:18:11","2021-02-02 19:54:59",0,3051.7242000000056
113459,"CAP02930293251T","MO","2020-11-20","B4926",0,"VX050WH012003000",-62.993700000000004,0.3777,0,0,0,0,0,0,"2020-11-20 14:19:17","2021-02-02 19:54:59",0,2988.7305000000056
113579,"CAP02930293251T","MO","2020-11-24","B16",0,"VX050WH012003000EB090",-62.993700000000004,0.3777,0,0,0,0,0,0,"2020-11-24 06:31:29","2021-02-02 19:54:59",0,2925.7368000000056
113698,"CAP02930293251T","MO","2020-11-25","B18",0,"VX050WH012003000EB090",-48.9951,0.3777,0,0,0,0,0,0,"2020-11-25 15:14:01","2021-02-02 19:54:59",0,2876.7417000000055
113723,"CAP02930293251T","MO","2020-11-26","B19",0,"VX050WH012003000EB090",-62.993700000000004,0.3777,0,0,0,0,0,0,"2020-11-26 06:38:31","2021-02-02 19:54:59",0,2813.7480000000055
113729,"CAP02930293251T","MO","2020-11-26","B4891",0,"VX050WH012003000",-55.994400000000006,0.3777,0,0,0,0,0,0,"2020-11-26 07:27:44","2021-02-02 19:54:59",0,2757.7536000000055
113740,"CAP02930293251T","MO","2020-11-26","B17",0,"VX050WH012003000EB090",-62.993700000000004,0.3777,0,0,0,0,0,0,"2020-11-26 09:06:15","2021-02-02 19:54:59",0,2694.7599000000055
113794,"CAP02930293251T","MO","2020-11-27","B26",0,"VX051OR012003000EB090",-188,0.3777,0,0,0,0,0,0,"2020-11-27 08:18:37","2021-02-02 19:54:59",0,2506.7599000000055
113825,"CAP02930293251T","MO","2020-11-27","B27",0,"VX051OR012003000EB090",-189,0.3777,0,0,0,0,0,0,"2020-11-27 13:34:32","2021-02-02 19:54:59",0,2317.7599000000055
113845,"CAP02930293251T","MO","2020-11-30","B40",0,"VX051RD012003000EB090",-48.9951,0.3777,0,0,0,0,0,0,"2020-11-30 07:56:04","2021-02-02 19:54:59",0,2268.7648000000054
113850,"CAP02930293251T","MO","2020-11-30","B28",0,"VX051OR012003000EB090",-168,0.3777,0,0,0,0,0,0,"2020-11-30 07:56:33","2021-02-02 19:54:59",0,2100.7648000000054
